Aspect term,Aspect category,Review text
"entrees,  chicken parmigiana",food,"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana."
,service,I'm looking forward to going back soon and eventually trying most everything on the menu!
"awful,  performing-and,  duo,  disco",food,"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate."
,anecdotes/miscellaneous,The sushi is always fresh and yummy and the menu is pretty varied.
"fresh,  salsa",food,"The guac is fresh, yet lacking flavor, we like to add our fresh salsa into it."
mole sauce,price,The fajita we tried was tasteless and burned and the mole sauce was way too sweet.
,"anecdotes/miscellaneous,  service",My boyfriend and I went here last night and LOVED it!
"staff person,  little rude pie","food,  anecdotes/miscellaneous",I had to flag down a third staff person for a fork... so now it's goodbye Little RUDE Pie Company.
"great asian salad,  spicy tuna,  best",anecdotes/miscellaneous,"BEST spicy tuna roll, great asian salad."
,anecdotes/miscellaneous,Everything about this place was wonderful.
,anecdotes/miscellaneous,The food was outstanding and the service was tops.
,anecdotes/miscellaneous,I went there with a few friends and will return.
"seafood joint,  lovely dinner",food,"Had a lovely dinner in this dedicated seafood joint, food was well-prepared and -presented and the service was pleasant and prompt."
"ca n't,  prime time",anecdotes/miscellaneous,I can't imagine how much worse it would have been if we'd gone at a prime time!
,food,The gnocchi literally melts in your mouth!
beautiful sushi,price,"This place has beautiful sushi, and it's delicious CHEAP. "
,"food,  anecdotes/miscellaneous",Do not go to this restaurant.
,food,Go spend your money somewhere that really wows you.
fresh sushi,service,Reasonably priced with very fresh sushi.
,anecdotes/miscellaneous,"The atmosphere takes you to that place, the place many dream of."
amazing service,"anecdotes/miscellaneous,  service",We've always gotten amazing service and we love the food.
,food,I had to wait for my friend at the bar for a few minutes
famous french fries,food,"All-time favorites include the Big Mac, Chicken McNuggets, Filet-O-Fish sandwich and McDonald's famous french fries; lighter options like entree-sized salads are also available."
sushi,food,Sushi so fresh that it crunches in your mouth.
siam,"food,  price,  anecdotes/miscellaneous",My first experience at Siam Square was very pleasant.
,service,"Go with the specials, and stay away from the salmon. "
,"food,  service","Although somewhat loud, the noise was minimally intrusive."
,food,"Food was decent, but not great."
pork dumplings,"food,  service","I reccomend the fried pork dumplings, the orange chicken/beef, and the fried rice."
"ca n't,  new menu",anecdotes/miscellaneous,"The new menu has a few creative items,they were smart enough to keep some of the old favorites (but they raised the prices), the staff is friendly most of the time, but I must agree with the person that wrote about their favorite words: No, can't, sorry..., boy, they won't bend the rules for anyone."
,food,"Everyone who works there (the host, the bartender, the servers) is so helpful."
"excellent tapas,  great prices","food,  anecdotes/miscellaneous,  service","excellent tapas at great prices, romantic, small but not overly crowed, excellent"
"nick,  joe,  thin crust","food,  anecdotes/miscellaneous",Likewise if you like really thin crust or really big slices then Nick and Joe's may not be your favorite.
grand marnier shrimp,anecdotes/miscellaneous,"I highly reccomend the grand marnier shrimp, it's insanely good."
,food,You will not be dissapointed by any of the choices in the menu.
favorite restaurants,anecdotes/miscellaneous,Don Pedro's is one of my favorite restaurants.
all-around good,food,"The food is all-around good, with the rolls usually excellent and the sushi/sashimi not quite on the same level."
,food,"Actually, everyone who worked there seemed to be annoyed."
"rude bartender,  graceless manager",food,"Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out."
,"food,  anecdotes/miscellaneous",We were very impressed with the food and value.
,food,I didn't go there for food so I can't comment.
sangria,"food,  anecdotes/miscellaneous",All of the apetizers are good and the Sangria is very good.
,"food,  anecdotes/miscellaneous","The appetizers are ok, but the service is slow."
"fresh veggies,  pasta primavera",food,"The pasta primavera was outstanding as well, lots of fresh veggies."
great scene,"food,  anecdotes/miscellaneous","Not too much so, but enough that there's a great scene."
simple italian food,anecdotes/miscellaneous,"It's traditional, simple italian food."
"wonderful breakfast sandwiches,  pork product,  great things,  jersey",food,"In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as Taylor ham."
ultra-thick chocolate,"anecdotes/miscellaneous,  service","Thick fries, meaty chili and stuffed baked potatoes round out a menu that includes a cool, ultra-thick chocolate Frosty."
,food,The portions are very large and the service is fantastic!!
round corner table,"food,  anecdotes/miscellaneous",Ask for the round corner table next to the large window.
food items,"food,  service",Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.
,"food,  anecdotes/miscellaneous",The service we experienced was friendly and good.
"black,  's,  eaten,  vinegar","food,  anecdotes/miscellaneous",It's eaten with black vinegar and shredded ginger.
tasty salads,"food,  anecdotes/miscellaneous,  service",Go here if you want fresh and tasty salads of any type you can imagine.
"mediterranean,  popular dish,  goat cheese",food,"Generously garnished, organic grilled burgers are the most popular dish, but the Jerusalem market-style falafel wraps and Mediterranean salads--layered with beets, goat cheese and walnuts--are equally scrumptious."
"easy,  beacuse",food,"Not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable."
,anecdotes/miscellaneous,The food really isn't very good and the service is terrible.
,"food,  price","the atmosphere is very nice, and a welcome escape from the rest of the SI mall."
"sweet honey-mustard beef,  dishes",anecdotes/miscellaneous,"Dishes denoted as ""Roy's Classics"" (marked on the menu with asterisks) are tried-and-true recipes, such as macadamia-crusted mahi mahi, or subtly sweet honey-mustard beef short ribs."
butter,food,Just because P Diddy had a party at Butter doesn't mean we should be automatically impressed.
ground chickpea soup,"food,  service",The ground chickpea soup we sampled as a starter tasted somewhat thin.
nyc,anecdotes/miscellaneous,I have been in NYC for over 10 years and could not find this delicacy east of the Hudson .
cute waiters,"food,  anecdotes/miscellaneous","The food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it."
roast chicken,anecdotes/miscellaneous,I had roast chicken and a salad.
"great drinks,  great food",anecdotes/miscellaneous,"Great food, great drinks, nice dining atmosphere."
extraordinary veggie burger,"anecdotes/miscellaneous,  service","Meat-phobes are in luck with the extraordinary veggie burger, made from a distinctive blend of chickpeas, carrots and other vegetables and spices."
lobster ravioli,food,I'm in love with the lobster ravioli!
,"anecdotes/miscellaneous,  service",The food was wonderful and imaginative.
"york,  best",food,They are by far the BEST past in New York.
peak times,service,Can be a bit busy around peak times because of the size.
"restaurant,  example,  business,  typical","food,  service",This is a typical example of an establishment in which its owners do not know anything about the restaurant business!
mediterranean,anecdotes/miscellaneous,"Casablanca servces delicious falafel, tabouleh, humus and other Mediterranean delights, which are all very inexpensive."
good overall,anecdotes/miscellaneous,The food was good overall. 
"hard,  time",food,"When it came time to take the order the waiter gave us a hard time, walked away then came back with a paper and pen for us to write down what we wanted...excuse me but isn't that his job???"
"party,  private","food,  anecdotes/miscellaneous,  service","If you're lucky and there's not a private party going on back there, you'll get a chance to really chill out."
,"food,  service",But the meals were terrible.
,food,Two wasted steaks -- what a crime!
,"food,  anecdotes/miscellaneous","Between my guest and I, we sampled at least 80% of the menu, and they were all hits."
extensive beer list,service,"What a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list."
brooklyn,"food,  anecdotes/miscellaneous",It's nice to find a place that is open 24 hours (especially in downtown Brooklyn).
,anecdotes/miscellaneous,the teas are great and all the sweets are homemade.
,"food,  anecdotes/miscellaneous",The staff is very sharp and they look good too.
chinatown,service,I thought the food isn't cheap at all compared to Chinatown.
dosa hut,"food,  anecdotes/miscellaneous,  service",I used to be a regular costumer at pongal until dosa hut opened right next door to it.
,anecdotes/miscellaneous,Half a chicken with a mountain of rice and beans for $6.25.
cozy setting,food,The traditional Italian items are great - cheap and served in a cozy setting.
,anecdotes/miscellaneous,"The service is a quite slow, but friendly."
great reviews,anecdotes/miscellaneous,"After so many great reviews here, my bf and I went to Esca to celebrate my birthday last nite."
,anecdotes/miscellaneous,I have to say the place was awesome.
"great,  neighbhorhood","anecdotes/miscellaneous,  service",great neighbhorhood spot.
garlic knots,"food,  anecdotes/miscellaneous",I also recommend the garlic knots.
"favorite,  haunts",anecdotes/miscellaneous,Satay is one of those favorite haunts on Washington where the service and food is always on the money.
delivery times,"food,  service",I have to say they have one of the fastest delivery times in the city.
food authentic,"food,  anecdotes/miscellaneous,  service","Not only is the food authentic, but the staff here are practically off-the-boat, they are young and hip and know what they are doing when it comes to food and wine."
healthy unglamorous food,"food,  service",Simple healthy unglamorous food cheap.
,food,Best things to order are from the grill (Churrasco and Ribs).
pizza 's,anecdotes/miscellaneous,"The pizza's are made fresh, crispy, and ready to serve."
,"anecdotes/miscellaneous,  service","The service was a bit slow and the portions are a bit small so if you are hungry and in a rush, this is not the place for you."
,anecdotes/miscellaneous,"I found the food to be just as good as its owner, Da Silvano, just much less expensive."
,"food,  anecdotes/miscellaneous",I always find myself asking the waiter to make something bland and different than what is on the menu.
,food,"I've been coming here regularly since it opened, about 2 years ago."
,"food,  anecdotes/miscellaneous",It also has lots of other Korean dishes that are affordable and just as yummy.
"laid-back atmosphere,  eat-in burger joint","anecdotes/miscellaneous,  service","Hip boutiques and bars on Ludlow add to the artsy, laid-back atmosphere at this Israeli-style takeout and eat-in burger joint."
,"food,  anecdotes/miscellaneous",Food is always fresh and hot- ready to eat!
,"food,  anecdotes/miscellaneous",The pastas were pretty good.
"brulee,  sweet,  gras,  corn-foie",food,"Menus feature seasonal picks, like sweet corn-foie gras brulee."
,"ambience,  anecdotes/miscellaneous,  service","My friends and I go once a week (minimum, we live in the area) and everytime can't resist walking out ready to burst."
"bbq,  crab cakes","food,  anecdotes/miscellaneous",The crab cakes are delicious and the BBQ rib was perfect.
"bright green spinach-vodka sauce,  cheese ravioli,  wild mushrooms",anecdotes/miscellaneous,"Innovations are just as assured, from the simple Carinthia cheese ravioli with wild mushrooms to the caviar-topped sturgeon, beautifully matched with a bright green spinach-vodka sauce."
,"food,  anecdotes/miscellaneous",Had dinner here on a Friday and the food was great.
"reviews,  positive,  major,  publications,  nyc",food,just walk by the window and see all the unbiased positive reviews in all the major nyc publications.
unbelievable entree,service,"the homemade Guacamole, the unbelievable entree, and thee most amazing deserts."
"dinner menu,  fresh seafood,  huge steaks,  great entrees",anecdotes/miscellaneous,"the dinner menu offers a variety of great entrees, including fresh seafood and huge steaks, there's also a couple of non-meat alternatives."
atmoshere changes turning,"food,  anecdotes/miscellaneous",At night the atmoshere changes turning into this hidden jewel that is waiting to be discovered.
,anecdotes/miscellaneous,The unfortunate lady next to us thought she had ordered a salad (including asking for salad dressing) and was instead given a quesedilla.
"grand central location,  pie,  sales people",anecdotes/miscellaneous,"I love the Little Pie Company as much as anyone else who has written reviews, but must discourage anyone from visiting the Grand Central location due to their RUDE service from two sales people."
,"food,  anecdotes/miscellaneous","It first came well done, and I politely sent it back."
manhattan,food,"Being a vegan myself, I've made a point of trying all the vegan restaurants in Manhattan--and Zen Palate is easily my favorite."
yellowfin tuna,anecdotes/miscellaneous,The Yellowfin Tuna and Calf's liver are my favorites!
,food,The decor is what initially got me in the door.
,anecdotes/miscellaneous,"The food was great - sushi was good, but the cooked food amazed us."
"i,  hotdogs",anecdotes/miscellaneous,this without question is one of the worst hotdogs i have ever had.
,anecdotes/miscellaneous,They are served on Focacchia bread and are to die for.
pizza etc,"food,  anecdotes/miscellaneous","Not only did they have amazing, sandwiches, soup, pizza etc, but their homemade sorbets are out of this world!"
,anecdotes/miscellaneous,We were there March 7 and found Maison very nice.
,service,We always enjoy the pizza.
lone argentine chorizo appetizer,anecdotes/miscellaneous,The lone argentine chorizo appetizer at $8.95 was a heavy fennel flavored Italian sausage like the ones that sell for $2.99/lb at the store.
,anecdotes/miscellaneous,"The service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leaves the place."
,food,The food was excellent - authentic Italian cuisine made absolutely fresh.
,"food,  anecdotes/miscellaneous","since i was in the neighborhood, we made sure to give this a try."
,food,The service was on point - what else you would expect from a Ritz?
waitress 's,anecdotes/miscellaneous,the two waitress's looked like they had been sucking on lemons.
french food,anecdotes/miscellaneous,Just go in and sample the greatest french food west of Daniel.
"delicate care,  cheese plate",food,"From the erbazzone emiliana to the mostarda on the cheese plate, the dishes at this restaurant are all handled with delicate care."
exotic martinis,"food,  price,  anecdotes/miscellaneous",I would definitely go back -- if only for some of those exotic martinis on the blackboard.
york,food,"If you' re in New York, you do not want to miss this place."
,food,We had our Christmas party at Dos Caminos and it was wonderful.
,"food,  anecdotes/miscellaneous","It was good, but none of the flavors WOW."
"nice place,  overall","food,  service","Overall, this is a nice place to take a few friends to hang out at and the service is excellent."
"experience,  nice",food,I came again weeks later with my boyfriend and again had a very nice experience.
rare steak,"food,  anecdotes/miscellaneous",I asked for a simple medium rare steak.
"good place,  simple soup,  classic french dish",food,good place to hang out during the day after shopping or to grab a simple soup or classic french dish over a glass of wine.
,food,"it's good but, like the movie is never as good as the book, this is same analogy."
"+,  voice,  nice","food,  anecdotes/miscellaneous",jazz singer had a nice voice + she made us all get up to dance to shake some cals to eat some more.
"great little place,  awesome chicken tacos",anecdotes/miscellaneous,"I was on jury duty, rode my bike up Centre Street on my lunch break and came across this great little place with awesome chicken tacos and Hibiscus lemonade."
"new,  york",anecdotes/miscellaneous,"Probably my worst dining experience in new york, and I'm a former waiter so I know what I'm talking about."
,anecdotes/miscellaneous,The food is also outstanding and is served quite quickly.
"nick,  joe",food,"Like I said, Nick and Joe's may not be everyone's favorite, but it's mine."
,"food,  price",Culinaria is a welcome addition to the Garment district- far better than any restaurant in the area.
,food,Despite the 5th ave address there are no frills whick I also love.
try,food,Try the rose roll (not on menu).
,food,"My gf's duck confitte was very solid as well, although i have little base of reference."
"flavorless,  pretty","food,  anecdotes/miscellaneous","They were dry, stale and pretty flavorless."
"jewel,  rare",food,Was her Monday for lunch - was working on a film in the area - and found this rare jewel.
they have waiters on the sidewalk trying to pull you in which made,service,THEY HAVE WAITERS ON THE SIDEWALK TRYING TO PULL YOU IN WHICH MADE US SUSPICIOUS.
,anecdotes/miscellaneous,The service is pretty good.
,food,The food--though mostly deep-fried--is simple and satisfying.
,food,Maybe the secret was that we went on a Sunday night and everything was great.
,anecdotes/miscellaneous,Service is known for bending over backwards to make everyone happy.
restaurant week,"food,  anecdotes/miscellaneous",I went for restaurant week.
good food,food,"It's just good food, nothing more and that's all we want!"
excellent choice,anecdotes/miscellaneous,An excellent choice in midtown.
desserts,anecdotes/miscellaneous,Desserts are almost incredible: my personal favorite is their Tart of the Day.
great vibe,"food,  anecdotes/miscellaneous,  service",The food is delicious and the bar has a great vibe.
"real,  star",anecdotes/miscellaneous,But regulars know that the sandwiches are the real star here.
nyc,anecdotes/miscellaneous,Quartino is my favoriate resturant in NYC.
york,anecdotes/miscellaneous,You feel like you made it to New York when you eat here.
picky ... ... .our meal,food,"the wait staff is very friendly, if your not rude or picky.......our meal at Leon last weekend was great -."
,"anecdotes/miscellaneous,  service","This place doesn't get the publicity that Sylvias Soul Food restaurant does, but it should."
,"food,  anecdotes/miscellaneous",My favs here are the Tacos Pastor and the Tostada de Tinga...
"great,  time","food,  price",have always had a great time here.
"no-fuss,  's",anecdotes/miscellaneous,"It's no-fuss, fast and delicious."
"great cocktail menu,  great wine list",food,Great wine list and great cocktail menu.
attentive service,"anecdotes/miscellaneous,  service",Intimate but charming interior with extremely friendly and attentive service.
,"food,  anecdotes/miscellaneous","The decoration was feeling like we was on the Cairo, actually the street is part of that adventure."
french fries,ambience,The french fries -- with the kalmata dip were terrific!
,anecdotes/miscellaneous,The wait staff was loud and inconsiderate.
"great variety,  pizza 's,  york","food,  service","El Nidos one of the best restaurants in New York which I've ever been to, has a great variety of tasty, mouth watering pizza's."
,anecdotes/miscellaneous,"Anyway, the owner was fake."
ice drink,anecdotes/miscellaneous,rice dishes and noodle dishes rarely exceed $5 and add on a refreshing ice drink for $2 and you're set for the night!
,anecdotes/miscellaneous,"Not only was the sushi fresh, they also served other entrees allowed each guest something to choose from and we all left happy (try the duck!"
,anecdotes/miscellaneous,"The menu, which changes seasonally, shows both regional and international influences."
,food,"On the recommendation of a friend, I checked out Arezzo with my wife."
,service,Don't be put off by another reviewers extremely negative review.
,"food,  ambience","You're going to drop some coin, but completely worth it, especially if you are looking to impress someone."
"brooklyn,  nice sushi restaurant",food,"This is a nice sushi restaurant in Brooklyn that's located on 86 street, right underneath the train station."
dance floor,food,We were seated promptly in close proximity to the dance floor.
,"ambience,  food,  anecdotes/miscellaneous",The staff should be a bit more friendly.
healthy meal,anecdotes/miscellaneous,So for a filling and healthy meal give it a go.
,"food,  anecdotes/miscellaneous",I wasn't impressed and it wasn't SPICEY????
"charm,  school,  old",anecdotes/miscellaneous,"The crowd was older and the restaurant is very cramped, but it has old school charm."
it was our only opportunity to visit and wanted an authentic italian meal,"food,  service",IT WAS OUR ONLY OPPORTUNITY TO VISIT AND WANTED AN AUTHENTIC ITALIAN MEAL.
great sushi place,anecdotes/miscellaneous,"The restaurant could use a little paint, but all in all a great sushi place!"
,"food,  anecdotes/miscellaneous",Everything about this place is adorable - even the bathroom!
food inconsistant,"food,  anecdotes/miscellaneous","I have been going to this restaurant for years, in the past the service was average and the food inconsistant."
rude waiter,food,I asked repeatedly what the status of the meal was and was pretty much grunted at by the unbelievably rude waiter.
,food,It was delicious and large!
"sandwich meal,  sour soup","food,  anecdotes/miscellaneous","For a savory take on the soup and sandwich meal, try the hot and sour soup."
perfect place,"food,  anecdotes/miscellaneous","From the moment you walk in, you feel like you're in the perfect place."
,service,The food is so good and so popular that waiting can really be a nightmare.
,"price,  anecdotes/miscellaneous","The service was great, and they have a whole great deal for birthdays."
,"food,  anecdotes/miscellaneous","Highly recommended...  As stated, I haven't dined *in* the restaurant but stopped by there to pick up takeout and it seems a very relaxing place; also, the bar looks nice."
ca n't,anecdotes/miscellaneous,I just had my first visit to this place and can't wait to go back and slowly work my way through the menu.
"10-minute,  walk","food,  service",This diamond in the ruff is definitely worth my 10-minute walk from the 6 train.
good selection,food,"The menu is great, with a good selection, and everything that I have tried is absolutely delicious."
"try,  homemade breads",food,Try the homemade breads.
,anecdotes/miscellaneous,"Anywhere else, the prices would be 3x as high!"
,anecdotes/miscellaneous,The waiters are very friendly and helpful and if you frequent they will remember you.
"gourmet food,  fast food price","food,  anecdotes/miscellaneous",You can eat gourmet food at a fast food price.
breakfast food,ambience,"The food is average: breakfast food, soups, salads, sandwiches, etc."
,anecdotes/miscellaneous,"I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up."
,anecdotes/miscellaneous,The fettucino alfredo was amazing.
bad service,service,"Finally, I got sick of the bad service, obnoxious smirks, and snotty back talk."
"portion size,  ... staff,  trio,  portobello/gorgonzola/sausage appetizer,  great experience","food,  anecdotes/miscellaneous",Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.
"nyc,  harumi sushi","food,  anecdotes/miscellaneous",Harumi Sushi has the freshest and most delicious array of sushi in NYC.
,ambience,"Our waitress had apparently never tried any of the food, and there was no one to recommend any wine."
,food,I don't remember what we had; nothing was memorable.
"tri-state area,  hot dogs",anecdotes/miscellaneous,Best hot dogs in the tri-state area.
overall,food,"Overall, this is a great new restaurant that has been consistently good every time I have been."
,food,Who said go when the place is quiet during the day?
real mozzarella,anecdotes/miscellaneous,The sauce is excellent (very fresh) with dabs of real mozzarella.
soy sauce,food,The waitress came by to pick up the soy sauce WHILE we were eating our lunch!!!!!
,anecdotes/miscellaneous,This place has the best sushi in the city.
'10 's,food,expectations were real hi reading the '10's'.
burnt flavor,anecdotes/miscellaneous,"My vegetable risotto was burnt, and infused totally in a burnt flavor."
,anecdotes/miscellaneous,"Also, the chick peas with shrimp (appetizer) is divine."
,"food,  anecdotes/miscellaneous","However, being foodies, we were utterly disappointed with the food."
,"food,  anecdotes/miscellaneous",The atmosphere was nice but it was a little too dark.
,food,"Over priced, overrated....stay away!"
wo n't,service,You won't be dissapointed.
"particular location,  uses substandard meats",food,This particular location certainly uses substandard meats.
special occasion,service,"No doubt the next time we want to go out for a special occasion or are entertaining guests from out of town, Spirit and Bateaux will be our destination."
top notch,service,"The food is top notch, the service is attentive, and the atmosphere is great."
,anecdotes/miscellaneous,It gets very crowded so I would suggest that you get their early.
,anecdotes/miscellaneous,The food was as creative as the decor and both worked.
"pleasant,  surprise",ambience,What a pleasant surprise!
,anecdotes/miscellaneous,The food was mediocre and the service was severely slow.
save,anecdotes/miscellaneous,Save room for the desserts! ;-)
hungry people,anecdotes/miscellaneous,Even for two very hungry people there is plenty of food left to be taken home (it reheats really well also).
"back patio,  have",food,Have a mojito and sit in the back patio.
,anecdotes/miscellaneous,As we waited I watched 3 seperate groups of diners discuss how dissapointed they also were.
,anecdotes/miscellaneous,Would not recommend anyone to go.
,"food,  anecdotes/miscellaneous",Food portion was SMALL and below average.
,anecdotes/miscellaneous,The worst though was the taste.
"drinks and/or appetizers,  beautiful atmosphere",food,"A beautiful atmosphere, perfect for drinks and/or appetizers."
parmesan cheese,food,Another friend had to ask 3 times for parmesan cheese.
"predictable bistro menu,  rosemary-orange sauce,  king crab salad",anecdotes/miscellaneous,Creative dishes like king crab salad with passion fruit vinaigrette and fettuccine with grilled seafood in a rosemary-orange sauce are unexpected elements on an otherwise predictable bistro menu.
,"food,  anecdotes/miscellaneous",Not to sound too negative but be wary of the delivary.
,food,"Although the restaurant itself is nice, I prefer not to go for the food."
caeser salad,anecdotes/miscellaneous,The caeser salad was great.
sangria 's,food,The sangria's - watered down.
,anecdotes/miscellaneous,The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).
,food,"The ambiance was pretty cool, but not worth the hassle."
pasta specials,anecdotes/miscellaneous,Both a number of the appetizer and pasta specials were amazing.
coffee,anecdotes/miscellaneous,Coffee is a better deal than overpriced Cosi sandwiches.
,anecdotes/miscellaneous,My wife and I recently visited the bistro for dinner and had a wonderful experience.
excellent selection,food,They have an excellent selection (the rolls with crab are really great).
garlic soup,food,You must try the garlic soup!
dosa hut,anecdotes/miscellaneous,I started going to dosa hut more after that.
peak times,"food,  anecdotes/miscellaneous","At peak times, the restaurant is overcrowded and tables are uncomfortably close."
,price,MY date and I both ordered the Branzini and both felt the fish was very average.
dinner cruise,food,My fiance and I recently wanted to see the city and deceided to take a dinner cruise.
soul food,"food,  anecdotes/miscellaneous,  service","The place is clean, and if you like soul food, then this is the place to be!"
,food,This place has been around for a few years.
"real,  gem","food,  anecdotes/miscellaneous",This is a real gem of a place.
"occasion,  different",anecdotes/miscellaneous,i have eaten here on a different occasion - the food is mediocre for the prices.
,anecdotes/miscellaneous,"The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great."
rude hostess,anecdotes/miscellaneous,i went in one day asking for a table for a group and was greeted by a very rude hostess.
"small,  cheese-like,  cubes",anecdotes/miscellaneous,"We requested they re-slice the sushi, and it was returned to us in small cheese-like cubes."
great,anecdotes/miscellaneous,"All are GREAT - poori, naan, paratha all FRESH."
"seafood and/or,  greek food","food,  service",If you like seafood and/or Greek food you will love this place though it is not limited to just these things.
,"food,  price,  anecdotes/miscellaneous",Their duck here is also absolutely delicious.
,food,"Our waiter was helpful and charming, the food was perfect, and the wine was good, too."
,"food,  anecdotes/miscellaneous","The food is just OKAY, and it's almost not worth going unless you're getting the pialla, which is the only dish that's really good."
mushroom barley soup,food,the mushroom barley soup is amazing.
,food,Being Puerto Rican I know a thing or two about flan and this place serves one of the best (I hope Mom doesn't read this!).
"...,  average",anecdotes/miscellaneous,This place is average... at best.
nyc,food,Service was among the best I have ever had in NYC.
,anecdotes/miscellaneous,It's about $7 for lunch and they have take-out or dine-in.
appetizer,food,Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.
,"food,  price,  anecdotes/miscellaneous,  service",We had a birthday party here recently and the food and service was amazing.
definitely,anecdotes/miscellaneous,Definitely try the taglierini with truffles - it was incredible.
good cake,"food,  anecdotes/miscellaneous","Good cake BUT: it was not the best cake i've ever had, and definately not worth standing outside on the sidewalk being herded like cattle by indifferent and overworked employees."
,anecdotes/miscellaneous,I decided to try out this place after hearing about it in many magazines.
"great choice,  seafood lovers,  nice space","food,  anecdotes/miscellaneous","A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers."
desserts ...,"food,  anecdotes/miscellaneous",We enjoyed ourselves thoroughly and will be going back for the desserts ....
siam,food,I have gone back to Siam Square many times since and everytime I am very satisfied overall.
chinatown,anecdotes/miscellaneous,Chinatown definitely has better quality with cheaper prices.
,food,"Service is excellent, no wait, and you get a lot for the price."
,"food,  service",I stumbled upon this resteraunt on my way home from the subway.
good ...,anecdotes/miscellaneous,"The service is great (maybe even borderline nagging but at least you get attention), the desserts are excellent and the coffee is so very good..."
intimate place,anecdotes/miscellaneous,The dishes are remarkably tasty and such a cozy and intimate place!
indian food,"food,  anecdotes/miscellaneous,  service",Best Indian food I have ever eaten.
,"food,  anecdotes/miscellaneous","People in the neighborhood seem to love it, too."
"sweet,  ultra",anecdotes/miscellaneous,"the icing MADE this cake, it was fluffy, not ultra sweet, creamy and light."
esp lychee martini,food,"I love the drinks, esp lychee martini, and the food is also VERY good."
terrace,"food,  anecdotes/miscellaneous","Bay Terrace mall is nothing (ok, almost nothing) without it!"
mall food court,"food,  anecdotes/miscellaneous",I've had better Japanese food at a mall food court.
burnt crust,food,"Then they somehow made a dry and burnt crust, around a raw and cold inside."
jersey,food,They make the best pizza in New Jersey.
,"anecdotes/miscellaneous,  service",Its good to go there for drinks if you don't want to get drunk because you'll be lucky if you can get one drink an hour the service is so bad.
"bad,  review",anecdotes/miscellaneous,I'm almost tempted to give this place a bad review so I can keep the crowds away...been going there on and off for a year now and it's really my fave hang out in the city.
,"food,  anecdotes/miscellaneous",Did I mention that the coffee is OUTSTANDING?
,anecdotes/miscellaneous,It took a bigger bite from my wallet than my appetite - I would not reccomend this to anyone that I would want to talk to me again!!
nyc,food,"Every time I visit NYC, I come here."
,"ambience,  food",The host (owner) and servers are personable and caring.
"awful,  's",food,It's always quiet because it's awful.
,"food,  anecdotes/miscellaneous","The food was definitely good, but when all was said and done, I just couldn't justify it for the price (including 2 drinks, $100/person)..."
special sauce,anecdotes/miscellaneous,new hamburger with special sauce is ok - at least better than big mac!
,anecdotes/miscellaneous,Bring your date and a bottle of wine!
sandwiches,"food,  service","Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes."
"...,  nice","food,  anecdotes/miscellaneous",The service was dreadfully slow (the place was only half full) and a smile would have been nice...
cheese plate,anecdotes/miscellaneous,We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.
,ambience,"Unfortunately, with our show tickets, we didn't have time to sample any desserts."
avocado salad,"food,  anecdotes/miscellaneous",The avocado salad is a personal fave.
,"anecdotes/miscellaneous,  service","Their twist on pizza is heatlhy, but full of flavor."
,anecdotes/miscellaneous,I always find myself sitting next to someone in the theatre industry- interesting to hear ideas hashed out while having a quick bite to eat.
sauce cart,ambience,They bring a sauce cart up to your table and offer you up to 7 or 8 choices of sauces for your steak (I tried them ALL).
,food,The folding chair I was seated at was uncomfortable.
eggs benedict,food,Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.
great ambience,food,First walking in the place seemed to have great ambience.
good variety,anecdotes/miscellaneous,good variety but nothing surprising.
"fun,  small,  group,  night",anecdotes/miscellaneous,"but for the value, it was a great affordable spot to enjoy a fun night out with small group."
,food,I can't stand this dungeon.
"great things,  ca n't",anecdotes/miscellaneous,Everytime I go there I can't pick anything to eat and not because the menu is filled with great things to eat.
,anecdotes/miscellaneous,i would recommend Jewel Bako if you want to feel like you were kicked in the groin and had to pay for it too.
"definitely,  steak entree",food,"Definitely try the calamari, any pasta, or even the Sliced steak entree."
,"food,  anecdotes/miscellaneous","The food is good, the teriyaki I recommend."
