filling pasta mains,,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains."
attitude,,A++   The service was good to excellent along with the attitude.
Vietnamese classics,,"Top spot in town for Vietnamese classics, better than places that cost a lot more."
crabmeat lasagna,,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.
terrace,,In summer-eat outside on a terrace (another great feature of Suan)!!!
Barbecued codfish,,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance."
frying,,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars."
spicy food,,If you like spicy food get the chicken vindaloo.
bombay style chaat,,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers."
salmon dish,,"I had the salmon dish and while it was fine, for the price paid, I expected it to have some type of flavor."
Waiters,,"Waiters tend to forget drinks completely, food portions are so tiny, two people have trouble sharing one entree."
fromager,,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.
malai kofta,,"The palak paneer was standard, and I was not a fan of the malai kofta."
SERVICE,,INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.
Dim Sum,,"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again."
Shredded Squid Family Style,,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy."
bagels,,"Great bagels, spreads and a good place to hang out in."
appetizers,,"Spice is great Thai food, love the inexpensive appetizers."
avocado,,"Stay away from the two specialty rolls on the menu, though- too much avocado and rice will fill you up right quick."
mayonaisse,,"The highlight of the night was the mayonaisse for my side of fries I received from one of the food runners, which is not good considering the bill was nearly $100."
crew,,"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor."
paratha bread,,"The bread is the soft paratha bread (unlike the plain bread they use in Calcutta), and the stuffing is tandoori styled and very flavorful."
lamb chop,,"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil."
filets,,"$160 for 2 filets, 2 sides, an appetizer and drinks."
selection of wine,,"Great selection of wine, and seafood."
brioche and lollies,,The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.
private room,,We had a party in their private room and they made it truly memorable and were very helpful in the planning.
beans on toast,,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!
wine flight,,"We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight."
Quality of food,,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables."
food options,,The food options rule.
indian appetizers,,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers."
sauce,,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance."
jukebox,,The jukebox plays everything from Italian Opera to The Strokes.
Chinese food,,"If your favorite Chinese food is General Tao chicken, then this is NOT your place."
steak dish,,The food is alright - some stuff is good - some is not (like the steak dish which tends to be dry).
grilled cheese,,The grilled cheese at home afterwards was better.!!
tonic,,"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic."
shredded cheese,,It looked like shredded cheese partly done - still in strips.
food,,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
flour,,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY."
lunch specials,,I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.
dining rooms,,"Warm, comfortable surroundings, nice appointments (witness the etched glass and brickwork separating the dining rooms)."
swordfish,,The Waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.
wasabi,,The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).
Lobster Bisque,,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.
lunch,,This is a consistently great place to dine for lunch or dinner.
walls,,"The puke green walls leave a lot to be desired, but the food is very good."
icing on the cake,,But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.
course,,Every course was better than the next.
Green Curry dish,,I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.
soupy dumplings,,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab."
night scene,,This is definitely an  excellent date spot because of the ambiance and on the weekends the  night scene is more than alive.
bread,,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad."
beef carpaachio,,"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared."
on saffron risotto,,I really like both the scallops and the mahi mahi (on saffron risotto-yum!).
meat,,"They are tasty, but I suggest only eating one with meat because they tend not to mesh that well with the average American digestive system."
kebabs,,The parathas and kebabs are made when ordered ensuring a level of freshness that is unsurpassed.
price category,,Service is not what one would expect from a joint in this price category.
Indian dining experience,,I would highly recommend this place to anyone who is looking for a fine Indian dining experience that is definitely a value for your dollar.
Angry Lobster,,"One of my favorites though was the Angry Lobster, a cold lobster salad that was magnificent."
bar service,,"Friendly and informative staff, very attentive and prompt raw bar service."
Christmas dinner,,My family and I ate here last night for our annual Christmas dinner with the family members who would rather spend the holidays with friends out-of-town.
courses,,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
pepper powder,,"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red)."
panini,,"I plan to come here again and look forward to trying their assortment of bruschetta, panini's....."
lamb dishes,,"stick with the chicken, beef, and lamb dishes."
dessert menu,,"We laughed when he finally offered us a dessert menu and we left a 10 percent tip, which was generous, I feel."
selection of wines,,good selection of wines ranging from affordable to high end.
bills,,"Oh, don't even let me start with how expensive the bills were!"
meal,,I just wonder how you can have such a delicious meal for such little money.
pasta dish,,We both opted for a pasta dish and they were served timely and fresh.
kamasutra,,The 'kamasutra' and 'bombay cosmopolitan' are excellent and will have you tipsy in no time.
Asian appetizers,,"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks."
food quality,,"head and shoulders above its neighboors on east 6 st, taj mahal is also very comparable, in food quality, to the much overpraised (and underdeserving) baluchi's."
upstairs,,I do suggest to ask to be seated upstairs if you are looking to be a little cozy.
vegetable juice,,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy."
fish,,The fish is fresh but the variety of fish is nothing out of ordinary.
ambiance,,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
getting a table,,"service is friendly, and never had a problem walking in and getting a table."
apppetizers,,Unique apppetizers.
sichuan cooking,,What makes this restaurant special are the authentic sichuan cooking and being the only one in NYC that offers authentic chongqing hotpot.
choices per course,,We were disappointed with the pre-fixe menu of only 2 choices per course (other restaurants offer 3 choices) and ended up ordering a la carte.
SEASONAL beer,,(Always ask the bartender for the SEASONAL beer!!!
variety,,"The freshest, best variety, and the fastest delivery."
assortment of fish,,"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc."
dining hall,,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date."
Kamikaze,,"Their sushi, Kamikaze and other Rolls are fresh and well presented."
apetizers,,Other apetizers and food
large whole shrimp,,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had)."
salads,,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.
Thali,,"The Thali was small, thoroughly unremarkable, and $14.95."
ice cream,,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses."
Cheese plate,,Cheese plate is a varied delight and great bargain at $10.
Obv caviar,,Obv caviar is top of the line but the rest of the menu is so diverse it gives you a chance to taste so manydifferent varietys.
olive cream cheese,,Try the olive cream cheese or the lox spread on a whole wheat everything bagel.
space,,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants."
green curry with vegetables,,Try green curry with vegetables.
selecion of wines,,The food is great and they have a good selecion of wines at reasonable prices.
French food,,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
tiramisu,,"word of advice, save room for pasta dishes and never leave until you've had the tiramisu."
garlic knots,,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!"
mashed potatoes,,The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.
Chicken with Cashew Nuts,,Try the Pad Se-Ew or Chicken with Cashew Nuts for a memorable and repeatable experience.
fish dishes,,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
round of drinks,,"During our meal, the management came over and checked on us and even bought us a round of drinks."
Thai flavors,,"I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways."
shows,,We had a great tiem watching the shows and characters and ar food was just what we were looking for.
Tom Kha soup,,And the Tom Kha soup was pathetic.
Dal Bukhara,,and yes Dal Bukhara is so dam good and so are all the kababs.
date spot,,This is the perfect date spot for Williamsburg couples.
fresh mozz cheese,,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY."
wines,,i don't usually order wine with indian so i can't comment on their wine list or their wines.
spot,,Metrazur has a beautiful spot overlooking the main terminal.
plastic forks,,"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter."
beverage selections,,"Good spreads, great beverage selections and bagels really tasty."
extra virgnin olive oil,,"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil."
lobster sandwich,,We had the lobster sandwich and it was FANTASTIC.
Downstairs lounge,,Downstairs lounge is always a good attraction
cold lobster salad,,"One of my favorites though was the Angry Lobster, a cold lobster salad that was magnificent."
back patio,,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there."
Thai food,,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
bottles of wine,,bottles of wine are cheap and good.
shrimp,,"My entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner."
baked ziti with meatsauce,,"The eggplant parmesan is also great, and my friend who grew up in Manhattan claims that no one serves a better baked ziti with meatsauce."
spices,,"Delicate spices, onions, eggs and a kick-ass roti."
kinds of beer,,great place to go for a drink too because they have 100 kinds of beer.
Meat dishes,,"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices."
air conditioning,,"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal."
fried clams,,And the fried clams had just enough kick to them to make 'em worth eating.
aisle,,"It cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle."
owners,,"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back."
samosa chaats,,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers."
People,,People are always friendly.
waiter,,"We could not catch our waiter's eye, and he ignored us."
corriander,,"The music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as I did, I got a whiff of corriander."
korma,,The makhani was OK --the korma was bland.
sushimi cucumber roll,,Try sushimi cucumber roll.
basmati rice dish,,"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor."
sandwhiches,,The sandwhiches are out-of-this world!
fish tanks,,"Having discovered Ping's on the internet, we entered with qualms but were instantly put to ease by the fish tanks that greet you as u walk in."
lunch special,,The lunch special is an asbolute steal.
sashimi plate,,I found the variety of the sashimi plate to be satisfying - fresh and yummy.
entree range,,"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return."
place,,The place is so cool and the service is prompt and curtious.
Owner,,Owner must have coem on this website to give himself credit.
tom yum soup,,"This wasn't the expected menu comprised only of pad thai and tom yum soup, but I thought that was what made the place so special."
take out,,Although be warned their dinner menu to sit and take out prices are different.
Crab Croquette apt,,My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal.
pastrami sandwich,,I had a huge pastrami sandwich on a roll.
dim sum dish,,We saw them heating up at least one frozen item though I'm not sure which dim sum dish it was.
waitress,,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong."
cheese,,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
dine,,This is a consistently great place to dine for lunch or dinner.
noodle and rices dishes,,The noodle and rices dishes taste great.
feel,,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.
apps,,"When family came in he gave them apps to test their palets, and then ordered for them."
group dinner,,"Shockingly easy to throw a group dinner here: simple contract, deposit only to hold the date the entire 2nd fl mezz for our grp of 20."
scene,,If I wanted to deal with a crappy scene and annoying customers I'd go out in Manhattan.
lunch buffet,,"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood."
Wine list,,Wine list is not huge but def well selected.
lettuce,,you can actually get 2 salads worth if u take it home and add it to some lettuce!
Indian,,They have authentic Indian at amazin prices.
variety of dishes,,The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.
Nanbu Bijin,,"Sake collection was excellent (Try Nanbu Bijin), but pricy."
owner,,"Best of all is the warm vibe, the owner is super friendly and service is fast."
smoked salmon and roe appetizer,,I ordered the smoked salmon and roe appetizer and it was off flavor.
jewish deli food,,"Maybe I say so because it looked promising for people who like artery-clogging jewish deli food, but turns out to be poorly run and awful."
halibut special,,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch."
quality,,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
iced tea,,Have the iced tea.
pastrami sandwiches,,"Good French restaurant in an area devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at Katz' Deli, or Mexican food which is supplied by capable restaurants."
management,,"Terrible, terrible management - deserves to be shut-down."
Taiwanese food,,Best Taiwanese food in NY!
service,,"Best of all is the warm vibe, the owner is super friendly and service is fast."
privacy,,Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).
sake menu,,The sake menu should not be overlooked!
Boton Shrimp,,"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc."
seasoning,,"Really though, where's the seasoning?"
Veal Parmigana,,Veal Parmigana - Better than Patsy's!
Wait staff,,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!
tuna tartare,,"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49."
gulab jamun,,Stick to the gulab jamun.
ceiling,,"When you're sitting in their main dining room (which has a spectacular, hand-painted high ceiling) you'd never know there was a world outside."
tramezzinis,,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating."
cigar bar,,Patroon features a nice cigar bar and has great staff.
Deliveries,,Deliveries often take up to an hour and the prices are higher than most other pizzerias in the area.
pinot noir,,"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49."
sweet lassi,,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
serve,,(and I have eaten my share) Which impresses me for having such a large amount of people to serve.
dinner reservations,,"We made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire."
Times Square cocktail,,Try the Times Square cocktail -- ginger lemonade with vodka (also available without vodka.)
chips,,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side."
menu prices,,The menu prices are a bit expensive for what you get in quality and portion size.
wine choices,,Very good wine choices.
front door,,Delicious food at a great price but do not go here on a cold day and sit by the front door.
chongqing hotpot,,What makes this restaurant special are the authentic sichuan cooking and being the only one in NYC that offers authentic chongqing hotpot.
interior decor,,this little place has a cute interior decor and affordable city prices.
garlic shrimp,,"I recommend the garlic shrimp, okra (bindi), and anything with lamb."
seat,,"It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence."
pudding dessert,,"Oh, and the complimentary pudding dessert was just enough- yummy!"
cocktails,,"My GF and I still choose to eat there a lot because of diverse cocktails, the chill decor, and the decent sushi."
lime juice concoction,,I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.
iceberg,,"The bruscetta is a bit soggy, but the salads were fresh, included a nice mix of greens (not iceberg) all dishes are served piping hot from the kitchen."
egg custards,,"A few tips: skip the turnip cake, roast pork buns and egg custards."
people with carts of food,,"The people with carts of food don't understand you because they don't speak English, their job is to give you the delicious food you point at."
bacos,,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars."
dinner plates,,Our tiny table for two (dinner plates hung over edge) was right in the middle of one of the lanes of waiter traffic.
New England Chowder,,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.
crowded,,They are often crowded on the weekends but they are efficient and accurate with their service.
seltzer with lime,,"I asked for seltzer with lime, no ice."
seated,,For the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated.
people serving,,"Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up."
tempura dish,,We had the pot-stickers which were great and a tempura dish that was great.
cream cheeses,,The cream cheeses are out of this world and I love that coffee!!
dinner special,,They didn't give us the dinner special until we asked for it.
apples,,We began with the cheese fondue (the artisanal blend) and added apples and kielbasa to dip.
popcorn topping,,"The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these."
glass of Sangria,,We were looking forward to nice glass of Sangria when we arrived.
dosa batter,,The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.
turnip soup with pureed basil,,"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis."
Margarita,,Their Margarita is best I've had since I've returned from Naples!
parathas,,The parathas and kebabs are made when ordered ensuring a level of freshness that is unsurpassed.
assorted sashimi,,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura."
shrimp appetizer,,"try the spicy shrimp appetizer (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great."
wait time,,less wait time for me!
sea salt,,The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).
portraits,,"Oh yes, and if you are a fan of Indian oldies film stars, there are plenty of portraits of Indian actors and actresses in classic black white that adorn the walls, some of which, I would love to know where they obtained."
rice dishes,,I also recommend the rice dishes or the different varieties of congee (rice porridge).
fast food,,"An excellent alternative to fast food joints and ordering in but, the food was slightly disappointing."
Sangria,,My husband and I enjoy Sangria.
Valentines Day dinner,,I went to DF for Valentines Day dinner.
garlic naan,,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
orrechiete with sausage and chicken,,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
caprese salad,,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!
Pelligrino,,"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent."
pork belly,,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience)."
values for your money,,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money."
tandoori,,"The bread is the soft paratha bread (unlike the plain bread they use in Calcutta), and the stuffing is tandoori styled and very flavorful."
homemade lasagna,,All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.
Pho,,"I've been to this restaurant more than a dozen times and when I'm craving for Pho, Lemon grass chicken or Beef Cube on rice, this is the place to go."
dishes,,My suggestion is to eat family style because you'll want to try the other dishes.
seating in the garden,,"Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available."
Food,,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
turnip cake,,"A few tips: skip the turnip cake, roast pork buns and egg custards."
Price,,Price no more than a Jersey deli but way better.
jelly fish,,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab."
noodle dishes,,"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered."
bagel,,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.
dining,,Go here for a romantic dinner but not for an all out wow dining experience.
Japanese cuisine,,It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.
Shuizhu Fish,,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy."
sandwiches,,"The sandwiches are dry, tasteless and way overpriced."
doors,,The red sliding doors may be unique but they do not block off the cold air from the outside.
cold udon,,"I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal."
interior,,"This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there."
spinach and corn dumplings,,"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom."
roti,,"Delicate spices, onions, eggs and a kick-ass roti."
curry flavor,,The Singapore Mai Fun had NO curry flavor whatsoever.
Cakebread Cabernet,,From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.
zucchini,,The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.
topping,,"They sell special sushi, everything have a topping, sauce and etc."
bottle,,"The only weird thing was if we got a bottle, the waitress would have simply multiplied the glass price X4, which makes no sense whatsoever."
steak au poivre,,My steak au poivre was one of the worst I've had.
cheesecake,,Try the cheesecake!
price,,The price is reasonable although the service is poor.
Onglet,,"Even better, they know how to cook French classics like Steak au Poivre and Onglet without burning it to death or overcooking it."
salmon,,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses."
buffet,,Dahkin also offers prix fixe lunch and buffet.
glass of wine,,They wouldnt even let me finish my glass of wine before offering another.
indian food,,it's a perfect place to have a amanzing indian food.
snacking,,And I say snacking because it really is not set up to be a proper dinner.
Southern Indian cuisine,,"Southern Indian cuisine is still there, too."
service staff,,"The drinks are a saving grace, but service staff, please, get over yourselves."
corner booth table,,Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).
outdoor atmosphere,,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.
pastries,,I got an excellent piece of cheesecake and we had several other nice pastries.
lunch food,,big and soft as well as good lunch food.
fried dumplings,,The scallion pancakes and fried dumplings were nothing out of the ordinary.
Japanese food,,Stuffing yourself with Japanese food is a rare thing.
spinach,,"My wife and I also enjoyed the spinach, the Shanghai low mein, and other attractions."
soups,,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
seafood,,"For some reason, all the seafood on the menu was unavailable except for the Salmon."
main entree,,"I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal."
atmoshpere,,The pizza is yummy and I like the atmoshpere.
martini,,"If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken, go to Village!"
Chef,,"Very excited to hear that short-term Chef Jason Narone has moved on, he truly was a low point of their Sterling track record."
ginger lemonade with vodka,,Try the Times Square cocktail -- ginger lemonade with vodka (also available without vodka.)
fresh mozzarella,,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's."
scallion pancakes,,The scallion pancakes and fried dumplings were nothing out of the ordinary.
caprese salad appetizer,,I've had pizza both times and the caprese salad appetizer.
Italian food,,"The Italian food has flavor (that can be sort of surprising on the UES), and the service turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner..."
eggplant parmesan,,"The eggplant parmesan is also great, and my friend who grew up in Manhattan claims that no one serves a better baked ziti with meatsauce."
entertaining,,Its a go-to for dates as well as entertaining out of town guests.
salt,,Yeah Shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out.
cole slaw,,I would have gotten some cole slaw and a knish if my stomach had more space.
quantity,,"The quantity is also very good, you will come out satisfied."
massamman curry,,"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom."
Jazz bands,,Love the Jazz bands on Fri and Sat.
atmosphere,,The design and atmosphere is just as good.
chicken dish,,"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like."
cheese sticks,,I can't believe people complain about no cheese sticks?
The chicken pot pie,,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm."
crust,,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right."
Scallion Pancake,,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy."
American Chinese food,,They even have a section in the menu called American Chinese food!
Kosher dills,,Kosher dills are the perfect compliment for your unforgetable sandwich and they give you plenty of them.
bhelpuri,,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers."
seaweed,,"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing."
crispy chicken,,"The crispy chicken wasn't for us, though."
table service,,"The table service could have been a little more attentive but as someone who also works in the service industry, I understood they were busy."
crab cocktail,,I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.
chicken,,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables."
Priced,,Priced at upper intermediate range.
calamari,,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains."
whole grilled fish,,But the main hit was the whole grilled fish.
cheeseburgers,,My son and his girlfriend both wanted cheeseburgers and they were huge!
staff,,But the staff was so horrible to us.
