,(anecdotes/miscellaneous#positive),My friend from Milan and myself were pleasantly surprised when we arrived and everyone spoke italian.
,(anecdotes/miscellaneous#neutral),Others have to go to other restaurants and feel sad until they're eaten.
(reservation#negative),(service#negative),Why make a reservation if you aren't going to keep it?
(Pad Thai#positive),(food#positive),"The Pad Thai is excellent here, as well."
,(ambience#negative),Big and gawky on the outside.
,(anecdotes/miscellaneous#positive),I have been to Mary's many times and I like it.
,(anecdotes/miscellaneous#negative),"Searching to get out from the cold, freezing weather, we went into what we thought was a deli."
(lunch specials#negative),(food#negative),I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.
,(anecdotes/miscellaneous#positive),HIGHLY RECOMMENDED!!!!!
,(anecdotes/miscellaneous#positive),This is the best thing in Soho.
,(anecdotes/miscellaneous#positive),Went here last night and had a pleasant experience.
(place#positive)(pizzas#positive),(anecdotes/miscellaneous#positive)(food#positive),"We parked on the block of Nina's the place looked nice, with people obviously enjoying their pizzas."
,(anecdotes/miscellaneous#neutral),I came here with my boyfriend for our anniversary because it was highly recommended to him by a friend.
,(price#negative),"For $760 for 2 people, it's a once in a lifetime experience."
(food#neutral),(food#neutral),"The food is o.k., but not any better than what you get at a good neighborhood restaurant."
(pot-stickers#positive)(tempura dish#positive),(food#positive),We had the pot-stickers which were great and a tempura dish that was great.
(stuff#positive),(service#positive),I think the stuff was better than Disney.
,(anecdotes/miscellaneous#neutral),"After reading the good reviews of this restaurant, I decided to give it a try with two friends."
(food#negative)(atmosphere#positive)(entree range#positive),(anecdotes/miscellaneous#negative)(ambience#positive)(price#positive)(food#negative),"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return."
(French food#positive),(food#positive),"Orsay, is without a doubt one of the best values for authentic French food in NYC."
,(service#negative),I had been searching really hard for a restaurant in New York where I could really feel unwanted and ignored and I finally found it!
,(anecdotes/miscellaneous#negative),It's definately not a place to go if you want to impress someone.
(deliveries#negative)(food#negative),(food#negative)(service#negative),"Well, their deliveries take for ever and the food is usually cold."
(staff#positive),(service#positive),The staff is no nonsense.
,(food#positive),Chinese Desserts are known for healthful benefits in addition to the sweetness.
,(anecdotes/miscellaneous#positive),Wonderful at holiday time.
(portions#positive),(food#positive),And really large portions.
,(anecdotes/miscellaneous#positive),The place is a lot of fun.
(staff#positive),(anecdotes/miscellaneous#positive)(service#positive),This is a great Thai restaurant with a very friendly staff.
,(anecdotes/miscellaneous#positive),"Have eaten at Ginger House several times, and it's always good."
(smoked salmon and roe appetizer#negative),(food#negative),I ordered the smoked salmon and roe appetizer and it was off flavor.
(lunch#neutral)(food#positive),(food#positive),"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food."
(garlic shrimp#positive)(lamb#positive)(okra (bindi)#positive),(food#positive),"I recommend the garlic shrimp, okra (bindi), and anything with lamb."
,(anecdotes/miscellaneous#positive),"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place."
,(anecdotes/miscellaneous#positive),"To give you an idea of how good we thought it was, we ended up going to Ping's three weekends in a row!!!"
(waiter#neutral),(anecdotes/miscellaneous#neutral),"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry."
(menu#positive)(burger#neutral)(steak#neutral)(escargot#neutral),(food#positive),"The menu was impressive with selections ranging from a burger, to steak, to escargot."
(plate#positive),(food#positive),"In fact, two people could really share one plate."
(food#positive),(food#positive),The food is great and authentic.
,(anecdotes/miscellaneous#positive),This was a repeat visit and we'll definitely be back again.
,(anecdotes/miscellaneous#neutral),during happy hour!
(casual dinner#positive),(anecdotes/miscellaneous#positive),Good for casual dinner with jeans and sneakers.
,(anecdotes/miscellaneous#positive),Love YUKA.
(food#positive)(price#positive)(wine list#positive),(food#positive)(price#positive),"Anyway, the food is good, the price is right and they have a decent wine list."
,(anecdotes/miscellaneous#positive),"Go, go, hurry, before everyone finds out about it."
(Prices#negative)(chicken tikka marsala#positive),(food#positive)(price#negative),Prices are higher to dine in and their chicken tikka marsala is quite good.
,(anecdotes/miscellaneous#positive),I am bringing my whole family back next time.
(styles of pizza#positive),(food#positive),This place has many different styles of pizza and they are all amazing.
(look#negative),(ambience#negative),The photos of the restaurant in its web site are way better than the real look.
(food#negative)(portions#negative),(food#negative),The food was lousy - too sweet or too salty and the portions tiny.
(coconut rice#positive),(food#positive),But the coconut rice was good.
(appetizer#neutral),(service#negative),It took them 25 minutes to bring our appetizer.
,(anecdotes/miscellaneous#positive),A guaranteeed delight!
,(anecdotes/miscellaneous#neutral),I have been coming to this neighborhood spot for years.
,(anecdotes/miscellaneous#positive),Overall I would recommend it and go back again.
(food#positive),(food#positive),The food was great.
(food#neutral)(beers on tap#positive)(wine list#positive)(priced#positive),(food#positive)(price#positive),Pair you food with the excellent beers on tap or their well priced wine list.
(music#negative)(bottle minimun#negative),(ambience#negative)(price#negative),If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.
(food#positive),(food#positive),All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.
,(anecdotes/miscellaneous#negative),"Anyway, this is the last time I cross the williamsburg."
(spot#positive),(ambience#positive),Metrazur has a beautiful spot overlooking the main terminal.
(staff#positive)(meal#positive),(service#positive),Friendly staff that actually lets you enjoy your meal and the company you're with.
,(anecdotes/miscellaneous#neutral),"When I'm feeling stressed by the noise and congestion around my office, I head for Cafe St. Bart's."
,(anecdotes/miscellaneous#neutral),Guess the 555Soul ads didn't launch her big modeling career.
(table#positive),(service#positive)(ambience#negative),The restaurant is rather small but we were lucky to get a table quickly.
,(anecdotes/miscellaneous#neutral),"Besides, we were on vacation!"
,(ambience#positive),I love this cozy around the way Rest.
(Quality of food#positive)(price#positive)(pork#positive)(fish#positive)(chicken#positive)(lamb#positive)(vegetables#positive),(food#positive)(price#positive),"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables."
,(anecdotes/miscellaneous#positive),Don't leave without trying One Night in Tokyo.
,(anecdotes/miscellaneous#negative),Save yourself the time and trouble and skip this one!
,(anecdotes/miscellaneous#positive),This is my favorite Italian restaurant in all of New York City.
(seating#negative)(place#negative),(ambience#negative),"The place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty."
(appetizing#positive)(price#positive),(food#positive)(price#positive),The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).
(bun#neutral),(food#negative),"But, they were too big for the bun."
(food#positive)(priced#positive),(food#positive)(price#positive),"The food is fresh, delicious, and reasonably priced."
(fusion of French and Indian cooking#positive),(food#positive),Raga stands out with an interesting fusion of French and Indian cooking.
(turnip cake#negative)(roast pork buns#negative)(egg custards#negative),(food#negative),"A few tips: skip the turnip cake, roast pork buns and egg custards."
(bagels#positive),(food#positive),The bagels are fabulous.
(seating in the garden#neutral)(seats#neutral),(service#negative),"Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available."
(service#positive)(place#positive)(water#neutral),(service#positive)(ambience#positive),Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.
(food#positive)(place#positive),(food#positive)(ambience#positive)(price#positive),"The food was very good, a great deal, and the place its self was great."
(food options#positive),(food#positive),The food options rule.
(cost#positive),(anecdotes/miscellaneous#positive)(price#positive),A great choice at any cost and a great deal.
,(food#negative),"Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary."
(pre-theatre 3-course dinner#neutral)(wine flight#neutral),(food#neutral),"We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight."
,(anecdotes/miscellaneous#positive),Definately check it out!!!
(lunch#neutral)(dinner#neutral),(ambience#neutral),"Probably much busier for lunch, it's seldom crowded for dinner (too close to downtown)."
(calzones#negative),(food#negative),"Their calzones are horrific, bad, vomit-inducing, YUCK."
(drink#neutral),(service#negative),It takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.
(place#positive)(bar scene#positive),(ambience#positive),The place itself is beautiful the bar scene seems to be happening.
(staff#positive),(service#positive),"Saturday, Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us."
(spreads#positive)(beverage selections#positive)(bagels#positive),(food#positive),"Good spreads, great beverage selections and bagels really tasty."
(waiter#negative)(specials#positive)(served#negative),(service#negative),"First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them."
,(anecdotes/miscellaneous#positive),We will be back.
(tiramisu#positive)(meal#neutral),(food#positive),"Also, top the meal with a delicious and perfect slice of tiramisu."
,(anecdotes/miscellaneous#positive),It seems like this is a place the locals like and the people working here liked it too.
(secret back room#positive),(ambience#positive),Check out the secret back room.
(bar#positive),(ambience#positive),"It's also attached to Angel's Share, which is a cool, more romantic bar..."
(food#positive)(service#positive),(food#positive)(service#positive),"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door."
(gulab jamun#positive),(food#positive),Stick to the gulab jamun.
(prices#positive)(atmosphere#positive)(service#positive)(wine list#positive),(food#positive)(service#positive)(ambience#positive)(price#positive),"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list."
(diner#neutral)(wait staff#negative)(table#negative),(service#negative)(ambience#negative),I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.
(meal#positive)(room#positive),(food#positive)(ambience#positive),With the theater 2 blocks away we had a delicious meal in a beautiful room.
,(ambience#negative)(anecdotes/miscellaneous#positive),"I was a little leary about Mary's at first - it's small, crowded and you usually have to wait on line - but I'm glad I finally tried it."
,(anecdotes/miscellaneous#positive),We were not dissappointed in the least bit by this little gem.
,(price#positive),Also very inexpensive.
(dinner#neutral),(anecdotes/miscellaneous#neutral),"We've only eaten in the restaurant once, but we have ordered many times for dinner."
,(anecdotes/miscellaneous#positive),I got enough reasons to keep coming back!!!
(pig feet ginger simmered in black vinegar#positive)(desserts with frog jelly#positive),(food#positive),By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.
(food#positive)(priced#positive),(food#positive)(price#positive),The food is great and reasonably priced.
,(ambience#positive),The characters really make for an enjoyable experience.
(thai cuisine#positive),(food#positive),I would definitely recommend SEA if you like thai cuisine!
(crew#positive)(host#positive),(service#positive),"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor."
(round tables#positive)(Taiwanese#positive),(ambience#conflict)(price#positive)(food#positive),"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese."
(portion#conflict)(french fries#positive),(food#conflict),"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had."
,(anecdotes/miscellaneous#positive),You cannot go wrong with this place.
(dinner#positive),(anecdotes/miscellaneous#positive),"It is the type of place to run into old friends and have a late, raucus dinner."
(food#positive)(dishes#positive)(specials#positive)(regular menu-fare#positive),(food#positive),"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment."
(Prices#neutral),(price#neutral),Prices are in line.
(fresh tomato sauce#positive)(fresh mozz cheese#positive)(basil#positive)(dough#positive)(pizza#positive)(flour#positive),(food#positive),"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY."
(food#positive),(food#positive),The food is prepared quickly and efficiently.
,(price#negative),and for this i had to shell out a small fortune?
(Indian food#positive)(Paneer Roll#positive),(food#positive),"For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven."
(food#positive)(plates#positive),(food#positive),The food looked very appetizing and delicious since it came on a variety of fancy plates.
(fresh mozzerella slices#positive)(Plain Cheese slice#positive),(food#positive),Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.
,(anecdotes/miscellaneous#neutral),I have tried literally every restaurant on curry row.
(food#negative),(food#negative),"The food is terrible and overall, I would have to say avoid at all costs."
,(anecdotes/miscellaneous#neutral),"I've been to this monster sushi twice, the 46th st once, the 23rd st one a number of times."
(food#negative),(food#negative),"Unfortunately, the food was NOT something to get worked up about."
(food#positive),(food#positive)(ambience#positive),"It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh)."
(Filet Mignon with garlic mash#neutral),(food#neutral),I had Filet Mignon with garlic mash.
(pre-theater menu#positive)(roasted tomato soup with chevre#positive)(steak frites#positive)(creme brulee#positive),(food#positive)(price#positive),"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous."
(waitstaff#positive),(service#positive),"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters."
,(anecdotes/miscellaneous#positive),Go inside and you won't want to leave.
,(anecdotes/miscellaneous#positive),I loving bringing friends here - and I do so every chance I get.
(bread#positive)(pizza#positive)(margarite pizza with cold prosciutto and baby arugula on top#neutral)(salad#neutral)(Peter's Favourite pizza with prosciutto and baby arugula#neutral),(food#positive),"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad."
(prices#conflict),(price#conflict),"Yes, the prices are high, but I felt it was worth it."
(bruschettas#positive)(paninis#positive)(tramezzinis#positive),(food#positive),"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating."
(waiters#positive)(diners#neutral),(service#positive),"Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners."
(chef#positive)(dishes#positive)(cuisine#neutral)(Indian#positive),(food#positive),"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs."
(owner#positive),(service#positive),The owner truly caters to all your needs.
(food#positive),(service#positive)(food#positive),He takes real pride in his food and his business.
,(anecdotes/miscellaneous#positive),Every time in New York I make it a point to visit Restaurant Saul on Smith Street.
,(anecdotes/miscellaneous#positive),My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.
(meal#positive)(pre-theater prix-fixe#positive),(food#positive)(price#positive),"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe."
(food#positive)(wine#positive)(dining#positive),(food#positive),"Over the years, it has always provided a pleasurable dining experience with quality food and wine."
,(anecdotes/miscellaneous#positive),I would go back tho.
(menu#positive)(fried chicken#neutral)(pork chop#neutral)(noodle dishes#neutral),(food#positive),"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered."
,(food#positive),too large for just two people but nothing was left.
(Indian food#positive),(food#positive),I cannot imagine better Indian food in all of the city.
(privacy#positive)(corner booth table#positive)(place#positive),(ambience#positive),Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).
,(anecdotes/miscellaneous#positive),A pleasant surprise.
(manager#negative)(open faced cheese sandwich#neutral),(service#negative),I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!
,(ambience#conflict),If you don't mind all that noise then go to the Chart House.
,(anecdotes/miscellaneous#neutral),We got most of it back at home with us.
,(anecdotes/miscellaneous#neutral),Get there before 7pm.
(breads#positive),(food#positive),very good breads as well.
(naan#neutral),(anecdotes/miscellaneous#neutral),"if this happens, just ask for real naan."
(squid#negative)(half-price Saturday night option#positive),(food#negative)(price#positive),We were fans of the half-price Saturday night option until some inedible squid during a recent visit.
,(ambience#conflict),"So, if yo really don't care who is sittingnext to you, which is about 2 inches away, I would say try it."
(Pizza#positive)(homemade pasta#positive),(food#positive),"Pizza is terrific, as is homemade pasta."
,(anecdotes/miscellaneous#positive),Definitely a neighborhood favorite.
(value ofr money#positive),(price#positive),This is a wonderful place on all stand points especially value ofr money.
,(anecdotes/miscellaneous#neutral),My first encounter happened one friday evening with a friend.
(soup#positive)(mushrooms#positive),(price#positive),Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.
(Service#conflict),(service#conflict),"Service is not exactly five star, but thats not really a big deal."
(waiting#negative),(service#neutral),There are other people waiting!
(beginning appetizers#positive)(scallops#positive)(chocolate souffle with rasberry mint sorbet#positive)(taste#positive),(food#positive),"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations."
,(anecdotes/miscellaneous#positive),OU MUST TRY THIS RESTAURANT.
,(anecdotes/miscellaneous#negative),"We left, never to return."
(Japanese Tapas#positive),(food#positive),Consistently good Japanese Tapas.
,(anecdotes/miscellaneous#negative),No apologies during restaurant week.
(fish#positive)(rice#positive)(seaweed#positive),(food#positive),"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing."
,(anecdotes/miscellaneous#conflict),"This place started off a little iffy, but is now one of my favorite indian restaurants in NYC (and I'm indian, so I should know)."
,(anecdotes/miscellaneous#positive),They also do a great job for restaurant week.
,(anecdotes/miscellaneous#neutral),I went to this restaurant with a woman that I met recently.
(dishes#positive)(lamb sausages#positive)(sardines with biscuits#positive)(large whole shrimp#positive)(pistachio ice cream#positive),(food#positive),"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had)."
,(anecdotes/miscellaneous#neutral),This is where the aforementioned line was.
(food#positive)(price#neutral),(food#positive)(price#neutral),The food is reliable and the price is moderate.
,(ambience#neutral),"Aside from the bearded, courdoroy blazer professor type with the NYU student he's sleeping with that week, you see a strange mix of hipsters, frat boys, Will Smith types who need to be told they are black, bitter cougars who cant understand why they arent married yet...."
(ambiance#positive)(atmosphere#positive)(food#negative)(service#negative),(food#negative)(service#negative)(ambience#positive),"While the ambiance and atmosphere were great, the food and service could have been a lot better."
,(anecdotes/miscellaneous#positive),We always go there on the weekends and leave extremely full and satisfied.
,(anecdotes/miscellaneous#negative),i dont how this place is still running.
(server#positive)(food#neutral)(drinks#neutral)(served#positive),(service#positive),The server was really cool and served us our food and drinks with a smile.
(food#neutral),(anecdotes/miscellaneous#neutral),We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street.
(sushi#positive)(thai food#positive),(food#positive),"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too ."
(Chef#negative),(anecdotes/miscellaneous#negative),"Very excited to hear that short-term Chef Jason Narone has moved on, he truly was a low point of their Sterling track record."
,(anecdotes/miscellaneous#positive),Excellent experience.
,(anecdotes/miscellaneous#positive),"Well worth the trip, close to City Hall and downtown subway stops."
(service#negative)(table#negative),(service#negative)(ambience#negative),I had to share my table with a loud group of kids and the service was rude an unattentive.
,(anecdotes/miscellaneous#positive),What more could you want?
,(anecdotes/miscellaneous#positive),"If you are the type of person who likes being scared and entertained, this is a great place to go and eat."
,(anecdotes/miscellaneous#positive),"All in all, I don't see how you can go wrong."
(garlic#positive)(fresh tomatoes#positive)(sauce on the pizza#positive),(food#positive),The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.
(outdoor seating#positive),(ambience#positive),"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me."
(mesclun#positive)(salmon#positive)(ice cream#positive)(courses#positive),(food#positive),"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses."
(wait#neutral),(anecdotes/miscellaneous#neutral),We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.
(food#positive)(place#negative),(food#positive)(ambience#negative),The food is usually good but it certainly isn't a relaxing place to go.
,(anecdotes/miscellaneous#positive),I'm told that it is open 24hrs which is good.
(staff#positive)(bistro fare#positive)(chilaquiles#positive)(jazz brunch#positive)(live jazz#positive),(food#positive)(service#positive)(ambience#positive),"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!"
(prices#positive),(price#positive),The prices were fantastic.
,(anecdotes/miscellaneous#positive),What a great place!
(bill#conflict)(measures of liquers#positive),(food#positive)(price#conflict),"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house..."
(table service#conflict)(service#neutral),(service#conflict),"The table service could have been a little more attentive but as someone who also works in the service industry, I understood they were busy."
(thai food#neutral),(food#neutral),"It's not mind-blowing, but to me, thai food never is and never will be."
(Food#positive)(pork belly#negative)(fat#negative),(food#conflict),"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience)."
,(food#conflict),"Although, one night we went it was super cheesy, and another night it was less cheesy."
,(ambience#conflict),"Even though it is a little loud, you don't have to yell at each other to talk."
(food#positive),(food#positive),"i've been to sapphire twice and both times the food was fine, if not good."
(tables#negative)(dinner#positive)(place#positive),(ambience#conflict),It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.
,(anecdotes/miscellaneous#negative),Was surprisingly disappointed.
(pizza#positive),(food#positive)(price#positive),I love the fact that the pizza tastes so good and is so cheap.
(bar#neutral),(service#positive),Nicky the Nose at the bar is a treat.
,(anecdotes/miscellaneous#neutral),I went to Ruby Foo's after work with a group of 6.
,(anecdotes/miscellaneous#neutral),I'm amazed we haven't been kicked out of this place yet.
(Service#positive),(service#positive),"Service was prompt, friendly and great."
(lamb chop#positive)(salads#positive)(lemon#positive)(extra virgnin olive oil#positive),(food#positive),"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil."
(sushi#negative),(food#negative),The sushi was awful!
,(anecdotes/miscellaneous#positive),Katz's has been a NYC original for over 100 years.
(meal#positive)(cost#conflict)(dishes#positive),(price#negative),You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.
(Pastrami sandwich#positive)(beer#positive)(pickles#positive),(food#positive),"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience."
(plain pizza#negative)(truffle oil#neutral)(wild mushroom(third generation-Fornini) pizza#positive),(food#negative),The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.
(omelletes#negative),(food#negative),"Late nite omelletes are not good here, there is no variety!"
,(food#positive),Everything at Sala Thai is tasty and well-portioned.
(tip#negative),(service#negative),"After all that, they complained to me about the small tip."
(lunch#positive)(dinner#positive),(price#positive),It's a great place to pick up a cheap lunch or dinner.
(counter#negative),(ambience#negative),"Behind this counter, two men are squeezed in."
,(anecdotes/miscellaneous#positive),Great find!!!
,(anecdotes/miscellaneous#positive),"If only they delivered, they'd make a mint!"
(fish#positive)(service#positive)(Sushi fix#positive),(food#positive)(service#positive),"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service."
(waitress#positive),(service#positive),"Our waitress was sweet and accomodating, not overbearing."
(reservation sigh#neutral)(table#negative),(service#negative),Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.
(food#negative),(anecdotes/miscellaneous#negative),I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.
(place#conflict),(ambience#conflict)(anecdotes/miscellaneous#conflict),The website and rating makes this place look wonderful but in reality it was very disappointing.
(menu#negative)(food art#positive),(food#conflict),"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art."
(outdoor atmosphere#positive),(ambience#positive),The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.
(toppings#neutral),(price#negative),"A large is $20, and toppings are about $3 each."
,(anecdotes/miscellaneous#positive),"In any event, this is a place I'll be sure to stop by again when I'm in this part of town."
,(anecdotes/miscellaneous#negative),I definitely wouldn't go back.
,(price#negative),It is not worth for that bucks.
(pizza#positive),(anecdotes/miscellaneous#positive),brick oven gallery is My pick for best pizza restaurant anywhere.
(service#positive)(food#positive)(price#positive),(food#positive)(price#positive)(service#positive),Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
(Thai food#negative),(food#negative),"For many people, this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic."
(bagels#neutral),(anecdotes/miscellaneous#neutral),"Growing up in NY, I have eaten my share of bagels."
(bills#negative),(price#negative),"Oh, don't even let me start with how expensive the bills were!"
,(anecdotes/miscellaneous#positive),A hearty two thumbs up!
(scallion pancakes#neutral)(fried dumplings#neutral),(food#neutral),The scallion pancakes and fried dumplings were nothing out of the ordinary.
(appetizers#positive)(salads#positive)(steak#positive)(pasta#positive),(food#positive),"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!"
(table#negative)(served#negative)(dishes#negative)(table#negative)(served#negative)(bill#negative),(service#negative)(price#negative),"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill."
(Service#positive),(service#positive),Service is top notch.
(food#negative),(food#negative),The food now is inconsistent.
,(anecdotes/miscellaneous#positive),All pretty good.
(dumpling#positive),(anecdotes/miscellaneous#positive),"You can also special order any kind of dumpling,etc."
,(anecdotes/miscellaneous#positive),you guys rock.
,(anecdotes/miscellaneous#negative),Chance is a joke.
(fondue appetizer#neutral),(food#positive)(anecdotes/miscellaneous#positive),I was pretty much full after our fondue appetizer.
(spice#neutral),(food#neutral),BE CAREFUL before you request extra spice.
(Octopus salad#positive),(food#positive),The octopus eaters were floored by the Octopus salad.
(foods#negative)(MSG cooking#negative),(food#negative),We thought that this place is using too much of MSG cooking in the foods.
,(anecdotes/miscellaneous#neutral),I was at Rao's last Wed.
(Tom Kha soup#negative),(food#negative),And the Tom Kha soup was pathetic.
(Bombay beer#positive),(food#positive),I started out with a Bombay beer which was big enough for two.
(decor#positive)(dining hall#positive)(semi-private boths#positive),(ambience#positive),"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date."
(Service#positive),(service#positive),Service was quick.
,(anecdotes/miscellaneous#negative),Tends to turn people away.
,(anecdotes/miscellaneous#neutral),We thought this a prelude to what the evening will be like.
,(anecdotes/miscellaneous#positive),"I was turned on to this restaurant by a fellow foodie friend of mine, and have been going back regularly ever since."
(service#negative),(service#negative),Drawbacks: service is slow and they don't toast!
(office lunch#neutral),(anecdotes/miscellaneous#neutral),Went there for an office lunch.
,(anecdotes/miscellaneous#positive),I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!
,(anecdotes/miscellaneous#conflict),"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori."
(sweet lassi#positive)(lamb chettinad#positive)(garlic naan#positive)(rasamalai#negative),(food#conflict),The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.
(bistro fare#positive)(chef#positive)(food#positive),(food#positive),"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return."
(lambchops#positive),(food#positive),The best thing I tasted were the lambchops.
,(food#positive),it's delicious!
(spicy tuna#positive)(salmon#positive),(food#positive),The spicy tuna and salmon are the best we've ever had.
(seafood#positive)(prices#negative),(food#positive)(price#negative),"Even though its good seafood, the prices are too high."
(food#positive)(prices#positive),(food#positive)(price#positive),"In addition, the food is very good and the prices are reasonable."
(owners#positive)(hosts#positive),(service#positive),"Upon entering, we were greeted by the owners, Steven and Frederick, who went out of their way to be more than gracious hosts."
,(anecdotes/miscellaneous#negative),"If you live outside the neighborhood, don't bother!"
(quality value#negative),(anecdotes/miscellaneous#negative),Been going here since it opened have seen the quality value decrease considerably.
(Meat dishes#neutral)(vegetarian-friendly choices#positive),(food#neutral),"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices."
,(anecdotes/miscellaneous#positive),I never had anything I didn't like here.
(prices#positive),(price#positive),Reasonable prices.
